Latitude,Longitude,WaterDepth,ObsvnTop,ObsvnBot,LocnName,DataSetKey,LocnKey,ObsvnKey,Device,DataTypes,Gravel,Sand,Mud,Clay,Grainsze,Sorting,Facies,FacMshp,FolkCde,RckMshp,VegMshp,Carbonate,MunslColr,OrgCarbn,lShearStr,Porosity,PWaveVel,Roughness,lCritShStr,GeolAge,ObsvnDetai,Key,ObsvnDate,DateSrc
47.50333,-124.47,23,-99,-99,OC014-60-AAA,167,144506,181798,UnidDevice,GRZ,0,97,3,-99,3.1,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168621,<1968,collection date
47.50333,-124.47,23,-99,-99,OC014-60-BBB,167,144507,181799,UnidDevice,LTH.TXR,0,98,2,1,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168622,<1968,collection date
47.50333,-124.47,23,-99,-99,OC014-60-BBB,167,144507,181800,UnidDevice,GRZ,0,98,2,0,3.1,0.7,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168623,<1968,collection date
47.50833,-122.4867,111,0,0,OA262_30_301,166,144084,180956,UnidDevice,TXR,29,65,6,3,1.6,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168624,196902,collection date
47.50833,-122.3922,15,0,0,TC_3838_36,29,1923,6877,UnidDevice,TXR,0,98,2,2,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168625,19890322,collection date
47.50833,-122.3922,15,0,0,TC_3838_36,29,1923,6878,UnidDevice,GRZ,0,98,2,1,2.4,1.2,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168626,19890322,collection date
47.50833,-122.3922,15,0,0,TC_3838_36,29,1923,6879,UnidDevice,GRZ.CMP,0,98,2,1,2.4,1.2,-,-99,-,-99,-99,-99,-,0.1,-99,-99,-99,-,-99,-,surface,ext_0168627,19890322,collection date
47.51333,-124.3717,32,-99,-99,OC014-190-AAA,167,144736,182255,UnidDevice,LTH.TXR,0,99,1,0,2.9,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168628,<1968,collection date
47.51333,-124.3717,32,-99,-99,OC014-190-AAA,167,144736,182256,UnidDevice,GRZ,0,99,1,0,2.9,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168629,<1968,collection date
47.51333,-124.3717,32,-99,-99,OC014-190-BBB,167,144737,182257,UnidDevice,LTH.TXR,0,99,1,1,2.9,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168630,<1968,collection date
47.51333,-124.3717,32,-99,-99,OC014-190-BBB,167,144737,182258,UnidDevice,GRZ,0,99,1,1,3,0.7,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168631,<1968,collection date
47.52,-125.9733,1475,0,0.1,68-DH14,201,152474,196008,Dredge,ACU,-99,-99,-99,-99,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,18,-99,-,-99,-,-,ext_0168632,1953-1968,collection date
47.52167,-124.5167,32,-99,-99,OC014-61-AAA,167,144508,181801,UnidDevice,LTH.TXR,0,98,2,0,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168633,<1968,collection date
47.52167,-124.5167,32,-99,-99,OC014-61-AAA,167,144508,181802,UnidDevice,GRZ,0,98,2,-99,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168634,<1968,collection date
47.52167,-124.5167,32,-99,-99,OC014-61-BBB,167,144509,181803,UnidDevice,LTH.TXR,0,98,2,0,2.9,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168635,<1968,collection date
47.52167,-124.5167,32,-99,-99,OC014-61-BBB,167,144509,181804,UnidDevice,GRZ,0,98,2,-99,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168636,<1968,collection date
47.52883,-122.3987,-99,0.01,0.01,MW_PSSS_236_1,93,47286,59638,UnidDevice,TXR,1,23,77,34,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168637,1989,collection date
47.52883,-122.3987,-99,0.01,0.01,MW_PSSS_236_2,93,47287,59639,UnidDevice,TXR,5,35,60,26,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168638,1989,collection date
47.52883,-122.3987,-99,0.01,0.01,MW_PSSS_236_3,93,47288,59640,UnidDevice,TXR,2,61,38,17,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168639,1989,collection date
47.53333,-124.375,10,-99,-99,OC014-191-AAA,167,144738,182259,UnidDevice,LTH.TXR,0,99,1,0,2.9,0.4,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168640,<1968,collection date
47.53333,-124.375,10,-99,-99,OC014-191-AAA,167,144738,182260,UnidDevice,GRZ,0,99,1,-99,3,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168641,<1968,collection date
47.53333,-124.375,10,-99,-99,OC014-191-BBB,167,144739,182261,UnidDevice,LTH.TXR,0,99,1,0,2.9,0.5,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168642,<1968,collection date
47.53333,-124.375,10,-99,-99,OC014-191-BBB,167,144739,182262,UnidDevice,GRZ,0,99,1,0,3,0.6,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168643,<1968,collection date
47.53667,-124.5467,44,-99,-99,OC014-62-AAA,167,144510,181805,UnidDevice,LTH.TXR,0,96,4,1,2.9,0.8,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168644,<1968,collection date
47.53667,-124.5467,44,-99,-99,OC014-62-AAA,167,144510,181806,UnidDevice,GRZ,0,96,3,1,3,0.9,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168645,<1968,collection date
47.53667,-124.5467,44,-99,-99,OC014-62-BBB,167,144511,181807,UnidDevice,LTH.TXR,0,98,2,1,2.9,0.9,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168646,<1968,collection date
47.53667,-124.5467,44,-99,-99,OC014-62-BBB,167,144511,181808,UnidDevice,GRZ,0,98,2,1,2.9,0.9,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168647,<1968,collection date
47.54133,-122.6572,8,0,0,TC_3838_34,29,1921,6871,UnidDevice,TXR,0,8,92,20,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168648,19890323,collection date
47.54133,-122.6572,8,0,0,TC_3838_34,29,1921,6872,UnidDevice,GRZ,0,8,92,13,6.4,2,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168649,19890323,collection date
47.54133,-122.6572,8,0,0,TC_3838_34,29,1921,6873,UnidDevice,GRZ.CMP,0,8,92,13,6.4,2,-,-99,-,-99,-99,-99,-,2.2,-99,-99,-99,-,-99,-,surface,ext_0168650,19890323,collection date
47.54833,-123.0083,149,0,-99,CH017_H06,166,144304,181176,GravityCorer,TXR,31,45,24,14,1.1,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168651,195206,collection date
47.54833,-122.6567,14,0,0,OA262_18_183,166,144077,180949,UnidDevice,TXR,0,8,92,37,7.2,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168652,196902,collection date
47.54833,-122.495,11,0,0,OA262_31_3li,166,143790,180662,UnidDevice,TXR,0,99,1,1,1.9,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,surface,ext_0168653,196902,collection date
47.55,-124.5383,59,-99,-99,OC014-63-AAA,167,144512,181809,UnidDevice,LTH.TXR,0,97,3,1,2.8,0.9,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168654,<1968,collection date
47.55,-124.5383,59,-99,-99,OC014-63-AAA,167,144512,181810,UnidDevice,GRZ,0,97,2,0,2.9,0.9,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168655,<1968,collection date
47.55,-124.5383,59,-99,-99,OC014-63-BBB,167,144513,181811,UnidDevice,LTH.TXR,0,97,3,1,2.8,0.9,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168656,<1968,collection date
47.55,-124.5383,59,-99,-99,OC014-63-BBB,167,144513,181812,UnidDevice,GRZ,0,97,2,0,3,1,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168657,<1968,collection date
47.55,-122.4383,256,0,-99,UV52F_S14,166,143791,180663,GravityCorer,TXR,0,73,27,14,2.9,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168658,195209,collection date
47.55083,-122.627,-99,0.01,0.01,MW_SIWP_239_1,93,47331,59683,UnidDevice,TXR,9,19,72,26,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168659,1986,collection date
47.55083,-122.627,-99,0.01,0.01,MW_SIWP_239_2,93,47332,59684,UnidDevice,TXR,0,66,34,12,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168660,1986,collection date
47.55083,-122.627,-99,0.01,0.01,MW_SIWP_239_3,93,47333,59685,UnidDevice,TXR,0,42,58,22,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168661,1986,collection date
47.55083,-122.627,-99,0.01,0.01,MW_SIWP_239_1,93,47334,59686,UnidDevice,TXR,0,15,85,29,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168662,1987,collection date
47.55083,-122.627,-99,0.01,0.01,MW_SIWP_239_2,93,47335,59687,UnidDevice,TXR,1,20,79,29,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168663,1987,collection date
47.55083,-122.627,-99,0.01,0.01,MW_SIWP_239_3,93,47336,59688,UnidDevice,TXR,7,40,54,19,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168664,1987,collection date
47.55479,-124.8046,130,0,0.05,OCNMS_BSC_11,95,48689,60661,Grab,TXR,0,51,49,10,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168665,20000804,collection date
47.55479,-124.8046,130,0,0.05,OCNMS_BSC_11,95,48689,60662,Grab,GRZ,0,51,46,5,4.8,2.3,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168666,20000804,collection date
47.5548,-124.5979,70,0,0.05,OCNMS_BSC_12,95,48690,60663,Grab,TXR,0,92,8,0,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168667,20000804,collection date
47.5548,-124.5979,70,0,0.05,OCNMS_BSC_12,95,48690,60664,Grab,GRZ,0,91,8,0,2.8,1,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168668,20000804,collection date
47.5548,-124.4229,25,0,0.05,OCNMS_BSC_13,95,48691,60665,Grab,TXR,0,98,2,0,-99,-99,-,-99,-,-99,-99,-99,-,-99,-99,-99,-99,-,-99,-,-,ext_0168669,20000804,collection date
